employee_id,age,gender,country,department,job_role,education_level,school_tier,parental_status,accented_name_flag,contracted_hours_weekly,years_at_company,manager_level,remote_ratio,performance_rating,engagement_score,training_hours,internal_mobility_count,promotion_last_3y,absenteeism_days,overtime_hours,manager_favoritism_score,visibility_score,psychological_safety_score,salary,bonus,stock_options,attrition
EMP_100071,36,Male,France,Operations,Operations Manager,Bachelor,Tier 3,No Children,0,35,2,0,25,3.82,63.62283096626684,6,2,0,13,17,63.2,91.8,63.0,46089.0,2408,3445,0
EMP_100072,37,Non-Binary,Spain,Data,Data Engineer,Master,Tier 2,Parent,0,35,0,0,75,2.55,69.76581826071366,52,0,1,14,17,64.8,54.4,52.9,59787.0,7065,0,0
EMP_100073,25,Male,UK,Operations,Supply Coordinator,Master,Tier 3,Parent,0,35,4,0,100,3.57,65.19283602493176,52,0,0,23,52,64.8,57.6,33.7,52081.0,5181,0,1
EMP_100074,26,Female,France,IT,DevOps Engineer,Master,Tier 2,No Children,1,28,5,0,75,3.78,55.40178655233897,24,0,0,23,30,72.6,46.6,51.9,57362.0,8264,113,0
EMP_100075,37,Female,France,Operations,Supply Coordinator,Master,Tier 2,Parent,0,35,11,0,25,2.62,69.89569369319618,69,0,0,20,23,59.5,70.2,48.3,69785.0,6812,0,0
EMP_100076,34,Female,Germany,Finance,Financial Analyst,Master,Tier 2,Parent,0,28,1,0,100,3.24,74.32526702396666,27,3,1,23,6,60.9,50.7,66.0,51303.0,9618,0,0
EMP_100077,32,Male,UK,Customer Support,Support Agent,Master,Tier 1,Parent,1,35,9,0,25,2.57,81.53703833752675,38,0,0,21,13,65.8,62.5,38.1,54416.0,5395,3490,0
EMP_100078,38,Male,UK,HR,Recruiter,Master,Tier 2,No Children,0,35,9,1,100,3.76,88.60487817744436,32,2,0,13,22,43.0,58.0,49.9,,6210,5369,0
EMP_100079,40,Female,UK,Finance,Financial Analyst,Master,Tier 1,No Children,0,35,2,0,50,3.84,64.69708059488063,0,0,0,13,12,58.0,62.6,56.6,47628.0,5250,8192,0
EMP_100080,28,Female,Canada,Data,Data Scientist,Bachelor,Tier 2,Parent,0,35,5,0,0,2.9,45.2942841108076,2,3,1,0,19,49.9,64.3,68.8,58905.0,0,0,0
EMP_100081,33,Female,Germany,IT,DevOps Engineer,Master,Tier 2,No Children,0,35,8,1,75,3.28,82.29704950869868,40,1,1,6,13,43.0,58.6,94.2,71711.0,0,7197,0
EMP_100082,40,Female,UK,HR,Recruiter,Bachelor,Tier 2,Parent,0,35,10,0,75,3.6,71.90482758156831,32,0,0,22,36,39.4,67.0,48.7,51731.0,2906,0,1
EMP_100083,34,Male,UK,Customer Support,Support Agent,Master,Tier 2,Parent,0,35,12,0,0,4.38,96.37081774325507,26,0,0,18,15,64.0,73.3,33.8,57429.0,0,0,1
EMP_100084,35,Male,UK,IT,Backend Developer,Master,Tier 3,No Children,1,35,7,2,50,2.3,51.09848796635292,13,1,0,9,23,77.3,64.0,49.2,81031.0,3887,10183,0
EMP_100085,40,Female,Spain,IT,Cloud Engineer,Master,Tier 3,Parent,0,35,5,0,50,2.62,49.55675608321375,43,1,0,3,20,58.7,76.7,55.4,59546.0,2767,2619,0
EMP_100086,34,Female,UK,Customer Support,Customer Success Manager,Master,Tier 2,No Children,0,28,0,3,50,2.98,88.61657139756227,0,3,1,29,34,74.9,86.8,58.1,69529.0,8573,21999,1
EMP_100087,37,Male,Germany,Customer Support,Support Agent,Bachelor,Tier 2,No Children,1,35,15,1,75,3.23,82.2968756806413,44,0,0,21,31,58.6,67.2,47.2,81525.0,10088,7124,1
EMP_100088,35,Female,France,Sales,Sales Executive,Master,Tier 1,No Children,0,35,1,0,50,3.72,77.12911163535111,26,2,0,7,16,52.9,54.5,52.8,58935.0,2825,0,0
EMP_100089,42,Male,France,IT,Frontend Developer,Master,Tier 2,Parent,0,35,0,0,100,3.31,22.707317662687625,38,1,0,3,27,67.4,59.5,58.9,60218.0,1350,195,0
EMP_100090,22,Male,USA,IT,Cloud Engineer,Bachelor,Tier 3,No Children,0,35,1,0,50,3.17,70.32786025788468,49,0,0,13,4,56.8,58.7,57.3,55375.0,5010,2552,0
EMP_100091,34,Non-Binary,USA,HR,HRBP,Master,Tier 3,No Children,0,35,7,0,50,2.99,70.87260408189096,36,3,0,12,32,58.6,58.9,54.8,59207.0,404,0,0
EMP_100092,31,Male,France,Data,ML Engineer,Master,Tier 3,No Children,0,35,5,1,50,3.21,73.47688117974516,52,0,0,26,40,73.1,76.1,22.3,88287.0,4778,5576,0
EMP_100093,34,Male,UK,Data,ML Engineer,Master,Tier 2,No Children,0,35,0,1,0,3.48,29.564995118070343,31,1,0,11,21,85.2,76.7,69.2,65659.0,5614,9642,1
EMP_100094,33,Male,USA,Data,ML Engineer,Bachelor,Tier 3,No Children,0,35,6,0,0,3.52,68.76331552784028,38,1,0,10,13,63.2,64.1,53.5,78828.0,5983,0,0
EMP_100095,35,Female,UK,IT,DevOps Engineer,Bachelor,Tier 1,No Children,0,35,8,0,50,3.74,51.32813064594452,39,2,0,4,2,57.7,66.2,75.2,62647.0,4052,455,0
EMP_100096,28,Male,Germany,Marketing,Growth Manager,Master,Tier 2,No Children,0,28,7,0,100,3.99,58.7354508590863,74,1,0,7,0,56.3,51.6,71.9,48011.0,5227,6072,0
EMP_100097,23,Female,Spain,Marketing,SEO Manager,Master,Tier 3,No Children,0,35,2,1,25,3.41,71.48233924613052,13,2,0,12,19,66.3,61.1,52.4,51390.0,5519,7142,0
EMP_100098,35,Male,Canada,Operations,Operations Manager,Bachelor,Tier 2,Parent,1,28,3,1,0,2.95,,60,3,0,9,26,49.2,86.0,44.5,60139.0,3017,421,0
EMP_100099,36,Male,Spain,Sales,Account Manager,Master,Tier 2,Parent,0,35,7,0,100,3.27,54.51823927515308,11,3,1,4,0,63.1,44.4,66.5,61442.0,3816,1331,0
EMP_100100,36,Male,UK,Data,Data Scientist,Master,Tier 2,Parent,0,35,9,0,75,2.15,72.79477738878465,25,0,1,10,12,65.3,50.1,48.9,78276.0,2815,1998,0
EMP_100101,40,Male,USA,Data,Data Scientist,Master,Tier 3,Parent,1,35,11,1,25,2.71,89.8959781255691,4,1,0,4,28,69.2,82.5,62.7,80781.0,9618,2005,0
EMP_100102,53,Male,Spain,Finance,Accountant,Master,Tier 2,Parent,0,35,21,0,100,4.16,81.86242735783854,27,1,0,12,23,66.8,58.7,74.7,87766.0,9027,0,0
EMP_100103,32,Female,France,HR,Recruiter,Master,Tier 3,No Children,0,35,4,1,0,3.35,70.8981113407129,58,1,0,12,27,64.9,70.8,35.0,65343.0,3790,2411,0
EMP_100104,45,Female,Spain,Finance,Controller,Master,Tier 3,Parent,0,35,9,0,50,3.45,58.403532088338,16,0,0,12,35,47.3,57.0,36.2,58879.0,7506,5440,0
EMP_100105,30,Male,USA,HR,Recruiter,Master,Tier 1,No Children,0,28,8,0,75,3.59,53.54361610684084,17,2,0,11,6,73.9,67.0,45.4,51822.0,0,0,0
EMP_100106,27,Female,Canada,Sales,Business Developer,Master,Tier 1,No Children,1,28,0,1,100,3.84,55.80908064622352,61,0,0,32,39,64.1,47.4,45.6,67386.0,781,4355,1
EMP_100107,38,Female,Canada,IT,Frontend Developer,Bachelor,Tier 2,Parent,0,35,1,0,50,4.59,76.469088888404,16,1,0,4,16,59.2,64.0,44.3,48607.0,8920,0,0
EMP_100108,50,Female,Spain,Data,ML Engineer,Bachelor,Tier 1,Parent,0,28,12,0,75,3.15,57.64188421525611,18,0,0,27,29,70.9,54.1,30.2,78468.0,7693,227,1
EMP_100109,42,Female,Canada,Data,Data Scientist,Master,Tier 3,Parent,0,28,10,0,0,4.02,80.15517523304464,30,2,0,27,5,39.8,53.7,57.6,73250.0,4422,0,0
EMP_100110,29,Male,Spain,HR,Recruiter,Bachelor,Tier 3,No Children,0,35,6,0,100,3.2,63.80359747256249,49,2,0,10,4,50.7,78.6,77.0,45693.0,0,1445,0
EMP_100111,40,Female,Spain,Finance,Accountant,PhD,Tier 3,No Children,0,35,5,0,50,3.63,46.98989013322155,35,4,0,3,22,50.1,66.8,47.9,60289.0,5159,5233,0
EMP_100112,33,Male,Canada,Finance,Accountant,Bachelor,Tier 2,Parent,0,28,8,0,0,2.44,59.52838993743587,53,1,0,23,31,75.6,70.0,42.2,70491.0,4915,1646,0
EMP_100113,55,Female,UK,Sales,Business Developer,Bachelor,Tier 2,Parent,0,35,4,0,75,2.85,63.50485027989819,34,1,0,19,29,45.0,65.5,68.3,59842.0,5871,1015,0
EMP_100114,33,Male,France,Sales,Sales Executive,Master,Tier 2,No Children,0,35,12,0,100,3.37,68.87034102212593,50,1,0,3,15,52.4,52.6,74.2,70132.0,3544,0,0
EMP_100115,22,Male,France,Operations,Supply Coordinator,Bachelor,Tier 2,Parent,0,28,1,1,75,3.2,76.98191584342865,47,1,1,16,26,72.5,68.7,51.5,61143.0,8114,9578,0
EMP_100116,37,Male,Germany,IT,Frontend Developer,Master,Tier 2,Parent,1,35,5,1,100,2.68,73.96890574920214,67,0,0,16,11,51.2,57.0,32.1,73093.0,8554,2276,1
EMP_100117,49,Female,Canada,Sales,Sales Executive,PhD,Tier 2,No Children,0,28,2,1,25,4.0,52.80026246603411,47,1,0,19,29,53.0,75.9,58.5,63998.0,2094,0,0
EMP_100118,39,Male,USA,Customer Support,Customer Success Manager,Bachelor,Tier 3,Parent,0,35,0,0,75,3.07,77.66942369476546,22,0,1,11,34,56.9,61.7,55.3,37415.0,1481,3644,0
EMP_100119,30,Male,France,IT,DevOps Engineer,Master,Tier 3,No Children,1,35,0,0,75,3.88,98.18405668551148,53,2,1,4,36,56.8,71.0,64.4,43604.0,4591,0,0
EMP_100120,41,Non-Binary,France,HR,Talent Manager,Master,Tier 2,Parent,0,35,10,0,0,3.4,48.8484057180337,55,1,0,14,32,76.9,74.5,46.0,72922.0,4240,0,0
EMP_100121,39,Female,USA,Marketing,Content Specialist,PhD,Tier 2,No Children,0,28,13,1,75,4.0,43.17907585385004,44,2,0,12,20,69.3,65.8,62.3,80935.0,7761,3976,1
EMP_100122,27,Male,Germany,HR,Recruiter,Bachelor,Tier 3,Parent,1,35,6,1,100,3.04,,31,0,0,14,22,43.5,56.1,39.5,64262.0,4416,4814,0
EMP_100123,40,Female,Spain,IT,Frontend Developer,Bachelor,Tier 2,Parent,0,28,0,0,0,2.67,62.30893251521237,40,0,1,19,19,69.5,72.3,47.7,43340.0,0,54,1
EMP_100124,28,Male,Germany,IT,Frontend Developer,Master,Tier 1,No Children,0,35,5,0,50,4.98,80.212276431774,43,0,0,19,17,73.5,62.1,30.0,60685.0,9967,3740,0
EMP_100125,35,Female,France,Finance,Accountant,Bachelor,Tier 1,Parent,0,35,0,0,75,3.05,62.73205697294352,83,1,0,16,3,58.2,50.0,59.1,42727.0,1594,0,0
EMP_100126,26,Male,UK,Marketing,Content Specialist,Master,Tier 1,Parent,1,35,5,0,75,4.06,53.33244199443072,22,1,0,5,24,77.3,53.7,62.2,41477.0,1564,0,0
EMP_100127,27,Male,Germany,HR,HRBP,Master,Tier 2,Parent,0,35,1,0,100,2.93,97.087888536492,9,2,1,3,4,83.1,56.8,70.8,50120.0,2057,5,0
EMP_100128,46,Female,France,HR,Recruiter,Master,Tier 2,No Children,0,28,4,0,0,2.34,79.25868751282648,27,1,0,11,21,55.5,76.0,47.5,51924.0,4495,0,0
EMP_100129,34,Female,Spain,HR,Talent Manager,Bachelor,Tier 3,Parent,1,28,13,0,50,3.5,91.67177086343276,52,0,0,27,32,64.8,74.3,20.8,61771.0,23,0,1
EMP_100130,41,Female,Spain,Operations,Operations Manager,Bachelor,Tier 2,No Children,1,28,5,0,0,2.25,68.14820914744645,72,2,1,12,24,67.0,75.1,52.4,43467.0,0,0,0
EMP_100131,41,Male,France,HR,Talent Manager,Master,Tier 1,Parent,0,35,3,0,50,3.36,39.31617536870335,33,1,0,9,5,62.2,68.2,72.8,55908.0,10200,2429,0
EMP_100132,40,Male,UK,Operations,Operations Manager,Master,Tier 1,Parent,0,28,8,0,50,4.76,77.03177480588725,36,1,0,11,0,70.8,62.0,70.5,58815.0,4267,388,0
EMP_100133,33,Male,UK,Finance,Financial Analyst,Master,Tier 3,No Children,0,35,0,0,50,3.86,59.246010104809926,53,0,0,12,3,60.5,66.9,61.0,47221.0,2543,3461,0
EMP_100134,37,Male,Germany,Marketing,Growth Manager,Master,Tier 2,No Children,0,35,8,0,0,4.61,75.48628348198915,32,0,0,14,23,69.9,68.3,35.6,46288.0,7134,1209,0
EMP_100135,39,Male,Canada,Finance,Financial Analyst,Master,Tier 2,No Children,0,35,3,0,50,3.2,72.76179891875263,29,0,0,12,24,82.5,62.6,43.9,59556.0,956,5107,1
EMP_100136,29,Female,Spain,Finance,Controller,Bachelor,Tier 3,No Children,1,28,8,1,75,3.91,64.79911672089277,46,1,0,14,0,67.6,63.0,70.2,67655.0,9250,8125,1
EMP_100137,41,Male,Spain,Sales,Sales Executive,Master,Tier 2,Parent,0,35,2,3,0,4.0,74.65252580876788,14,0,0,12,48,61.7,82.3,48.2,91744.0,4818,14325,0
EMP_100138,25,Female,USA,Marketing,Content Specialist,Master,Tier 3,No Children,0,35,4,0,0,3.3,79.09479727587006,0,0,0,24,19,59.6,56.2,58.3,49825.0,5315,2854,0
EMP_100139,26,Female,France,Operations,Supply Coordinator,Master,Tier 3,No Children,0,35,5,0,50,1.91,38.218084693733566,24,1,0,3,13,49.6,49.4,49.1,53823.0,8291,939,0
EMP_100140,31,Male,Germany,Data,Data Analyst,Master,Tier 1,No Children,0,35,2,0,50,4.07,50.93289260519548,44,1,0,7,0,60.0,70.3,71.2,67470.0,6964,0,0
